startDate	startTime	duration	livestream	physical	title	username	themes	medium	desc
Thu 17 Sep 2020	17:30	20	false	true	Better times are coming	ccami002	Non -directional travel. Bodies in relation. Experiential array.	Audiovisual interactive installation	Audiovisual interactive installation that simulates the timing of a clock. It varies in rhythm, graphics and acoustics in relation to the movement of the audience in space.
Thu 17 Sep 2020	18:00	10	false	true	It's just a matter of time	hcorr001	Non-Directional Travel, Experiential array, Bodies in Relation	VR	Navigating through non-descript places, time moves in inconsistent ways. The space itself is deformed in these moments to reflect the temporal malaise of its occupants. Progression is your goal but sometimes you may have to wait.
Thu 17 Sep 2020	18:20	10	false	true	Ground	rasto001	Experiential array, Non-Directional travel, Memory bank	VR	Grounded in a shifting terrain, living in the sediments of the past, disorientation becomes the only thing to hold onto. This is a VR piece that explores ground and groundlessness, claiming disorientation as a positive state to feel your way into or through.
Thu 17 Sep 2020	18:00	15	true	false	Welcome				Join us live online as we begin our four day festival!
Thu 17 Sep 2020	18:15	45	true	false	Spotlight Panel : How do we fight for our rights during a global pandemic?	ktind001,amiro001, jlawt001	Computational Resistance,Distance Orchestra	Spotlight Panel	There's a lot going on in the world right now. There's a global pandemic; fights for racial and gender equality, an economic crisis; a climate crisis; and an ever encroaching surveillance of every aspect of our lives. It all starts to feel overwhelming and indeed, anxiety levels have risen globally. Listen to three of the artists talk about how their work is a response to these challenging themes and times, as well as how art itself can offer an opportunity for better possibilities in the future. Moderated by artist, writer and curator Tamar Clarke-Brown.
Thu 17 Sep 2020	19:00	10	true	true	Sistema 1	mspag003		visual and audiory illusion performance	Sistema 1 is a performance that explores the inner workings of the human mind. By means of a continuous series of optical and auditory illusions, the audience is left with no time to rationalize what they are experiencing and hence forced to perceive the piece through the eyes of a child, rejecting rationality and embracing naivety.
Thu 17 Sep 2020	19:20	10	true	true	Diffusion	sxu003	Thing power,Experiential array,Memory bank	performance (Interactive installation)	"""Diffusion"" is a performance (Interactive installation) that uses a  brainwave sensor (EEG) to convert the intangible abstraction brain activity, thinking, or feeling into tangible things such as sounds, objects, sculptures. This project shall help us understand or feel the human-made(artificial), the actual real things, the things we not pay attention to it as well as we do not perceive it."
Thu 17 Sep 2020	19:40	10	true	true	ab_tempora	rbiro001	Bodies in relation, Non-Directional travel	Dance and audio-visual	Wrapped in an algorithmic flow of video technology, two dancers intend to make sense of what they are going through and what they are seeing in their self reflected distorsion.
Thu 17 Sep 2020	20:00	10	true	true	op('pantomimus')	cchan007	Bodies in relation, Memory bank	Face Hacking Performance	Op('pantomimus') is a face hacking performance exploring the inside world of the Schizophrenia patient.
Thu 17 Sep 2020	20:20	10	true	true	Fogtown	wfinc001	Thing Power, Expanded Terrains, Non-Directional Travel	Live, A/V, Performance	Fogtown is an audiovisual performance piece about identity impermanence and existential uncertainty. It consists of computational illustrations and animations underpinned by an exploration into creating live computational cinema.
Thu 17 Sep 2020	20:40	6	true	true	All is a transient dream	yzhan037	Thing Power, bodies in relation and multispecies rehearsal	Interactive Audiovisual Performance	This interactive performance intends to illustrate a dynamic relationship between organisms(performer) and machines(jellyfish) through a series of visual effects, improvised dancing and tailored soundtrack.
Thu 17 Sep 2020	21:00	15	true	true	Results May Vary	cdeba001	Distance orchestra, Experiential Array, Memory Bank	Live, Performance, Playable experience	An interactive performance influenced in real-time by the audience's recollections of the lockdown. With branching narratives and direct interactions with the performance, Results May Vary acts as a performative survey, portraying the collective memories of the specific audience interacting in the moment, making each performance unique.
Fri 18 Sep 2020	15:00	50	false	true	Better times are coming	ccami002	Non -directional travel. Bodies in relation. Experiential array.	Audiovisual interactive installation	Audiovisual interactive installation that simulates the timing of a clock. It varies in rhythm, graphics and acoustics in relation to the movement of the audience in space.
Fri 18 Sep 2020	16:00	50	false	true	It's just a matter of time	hcorr001	Non-Directional Travel, Experiential array, Bodies in Relation	VR	Navigating through non-descript places, time moves in inconsistent ways. The space itself is deformed in these moments to reflect the temporal malaise of its occupants. Progression is your goal but sometimes you may have to wait.
